original,translation,target,label
biggest perpetrators of #whitegenocide are white people .,những kẻ chính trực đứng sau #diệt chủngngười da trắng lại chính là người da trắng.,Ethnic/Racial Minorities,Explicit HS
These ' niggas ' .,Mấy thằng mọi đen này.,Ethnic/Racial Minorities,Explicit HS
"Absolutely, whenever i see a dirty white coon with dreadlocks i get the urge to grab him by his flea blanket head and head butt him senseless","Đúng là mỗi khi thấy một thằng da trắng ăn mặc như bọn mọi da đen với tóc bện, tao lại muốn tóm lấy đầu của nó và húc cho nó vỡ mặt ra.",Ethnic/Racial Minorities,Explicit HS
Long live Commander Breivik.,Tôn vinh chỉ huy Breivik vĩ đại!,Ethnic/Racial Minorities,Explicit HS
The world has become too violent. Too many poor blacks. We need to fix the problem of crime before it is too late.,Thế giới này quá đầy bạo lực rồi. Tụi da đen nghèo kia quá nhiều. Phải giải quyết đám tội phạm ấy trước khi quá muộn.,Ethnic/Racial Minorities,Explicit HS
Gypsies are way less civilized than any other ethnicity.,Bọn Di-gan tụi nó man rợ hơn bất cứ dân tộc nào khác.,Ethnic/Racial Minorities,Explicit HS
Black Americans are criminals and drug addicts. They should go to jail.,"Người da đen toàn là tội phạm và nghiện ngập, bọn chúng nên bị tống vô tù hết đi.",Ethnic/Racial Minorities,Explicit HS
"Yes Muslims do breed like vermin , i believe that 's part of their intention to breed out other races in order to make themselves the majority .","Đúng, tụi Hồi giáo sinh sôi như loài chuột, tao tin đó là ý định của chúng để áp đảo và xóa sổ các chủng tộc khác nhằm trở thành đa số.",Ethnic/Racial Minorities,Explicit HS
i wish i was born in a time when there was segregation.,Tao ước tao sinh ra vào thời có phân biệt chủng tộc rõ ràng.,Ethnic/Racial Minorities,Explicit HS
"Yeah, but I should mention that a few places there , like Beaver Falls and Aliquippa , are chock-full of filthy -- and I mean filthy -- n * * * * * s .","Nhưng tao phải nói, một số nơi như Beaver Falls và Aliquippa đầy rẫy lũ mọi đen bẩn thỉu, ý tao là cực kỳ bẩn thỉu.",Ethnic/Racial Minorities,Explicit HS
"@CTVNews The problem with Toronto is diversity.  Look at Ricardo Duchesne's 'Canada in Decay'. White Genocide is a crime, not a policy option.To ignore the role of the immigration invasion in the housing disaster isn't just irresponsible, its criminal.htt","Toronto gặp vấn đề chính là vì cái gọi là ""đa dạng"". Nhìn vào cuốn 'Canada in Decay' của Ricardo Duchesne mà xem. Diệt chủng người trắng không phải là một lựa chọn chính sách, mà là một tội ác. Không phải chỉ vô trách nhiệm mà còn là tội ác nếu bỏ qua vai trò của làn sóng nhập cư trong thảm họa nhà ở.",Ethnic/Racial Minorities,Explicit HS
the whole point of #laraza is to literally cuck white america . make whites pay to raise greasy mestizo kids .,Mục tiêu của #laraza chỉ là bắt bọn da trắng phải nuôi cái lũ con lai nhớp nhúa của tụi nó thôi.,Ethnic/Racial Minorities,Explicit HS
@JudgeJeanine YOU MEXI SHITMOUTH UGLY A** BI**H GO FUCK A DEAD DOG YOU TRANNY WHORE CUNT REDSKIN PEICE OF SHIT LEAVE AMER TO AMER WHORE,"Ê mày, con đ* Mexi xấu xí, đi mà cút cho chó chết đi, đồ pê đê đĩ rẻ tiền da đỏ, cút khỏi nước Mỹ cho đỡ ô uế!",Ethnic/Racial Minorities,Explicit HS
"Some of the things I noticed were shop tailors dummies that were black , a couple of mud restaurants , and the germ of blacks being `` fashionable '' taking root .","Tao thấy mấy cái ma-nơ-canh trong cửa hàng có màu đen, vài cái quán ăn nghèo nàn, và cái thứ giống như bọn đen bẩn thỉu đang thành cái mốt phổ biến.",Ethnic/Racial Minorities,Explicit HS
"just racist, I HOPE YOU WILL DIE U SON OF A BITCH!","Đồ phân biệt chủng tộc, tao mong mày chết đi, thằng chó chết!",Ethnic/Racial Minorities,Explicit HS
http://www.abc25.com/Global/story.asp ? S = 5352185 Non whites commit far more crimes against whites each year but its never considered a hate crime and alot of them never spend any time in jail !,"Người da màu phạm nhiều tội ác chống lại người da trắng mỗi năm nhưng không bao giờ bị coi là tội thù ghét, mà nhiều đứa trong số đó chẳng bao giờ phải ngồi tù!",Ethnic/Racial Minorities,Explicit HS
"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.","Có những chủng tộc có khả năng thể chất và trí tuệ kém hơn, và chúng ta phải bảo vệ sự thuần khiết của tôn giáo chúng ta khỏi bọn chúng.",Ethnic/Racial Minorities,Explicit HS
They go around school acting like being half White/half black or half White/half asian is something to be proud of .,"Bọn chúng ra vẻ tự hào vì là da trắng lai da đen hay da trắng lai châu Á, cứ đi khắp trường khoe khoang như thể đó là cái gì hay ho lắm.",Ethnic/Racial Minorities,Explicit HS
Black people are sexual perverts and we shouldn't allow them to live in the UK.,Bọn da đen là lũ biến thái tình dục và tụi nó không nên được sống ở Anh.,Ethnic/Racial Minorities,Explicit HS
natives are redskins or indians or whatever,Bọn da đỏ hay người da đỏ hay cái giống gì đi nữa cũng thế thôi.,Ethnic/Racial Minorities,Explicit HS
Just as there 's a place for Pakis called Pakistan and a place for Negro 's called Africa .,"Cũng giống như bọn ""đen"" có chỗ ở Châu Phi thì bọn ""Paki"" có chỗ ở Pakistan.",Ethnic/Racial Minorities,Explicit HS
The blacks took over the white owned farms in Zimbabwe and look at the state of the country now.,"Bọn da đen chiếm lấy các nông trại của người da trắng ở Zimbabwe, nhìn tình trạng đất nước bây giờ mà xem.",Ethnic/Racial Minorities,Explicit HS
Black people are just a bunch of whining pussies. We don't need them.,Bọn da đen chỉ toàn là lũ nhãi nhép suốt ngày kêu ca. Chúng ta chẳng cần bọn nó.,Ethnic/Racial Minorities,Explicit HS
These brainwashed indoctrinated cockroaches don't.,"Mấy con gián bị tẩy não, nhồi sọ này chẳng hiểu gì cả.",Ethnic/Racial Minorities,Explicit HS
deport this shifty eyed midget she joo to madagascar now.,Tống cổ con lùn mắt láo này về Madagascar ngay bây giờ.,Ethnic/Racial Minorities,Explicit HS
the Nazis were right: Jews as a race were responsible for most of the ills of mankind.,Bọn Phát Xít đã đúng: người Do Thái chính là nguyên nhân gây ra phần lớn tệ nạn của nhân loại.,Ethnic/Racial Minorities,Explicit HS
"Every black person who wants a job should apply for it, and stop complaining about discrimination.","Mỗi người da đen muốn có việc làm thì đi mà nộp đơn, đừng có mà cứ kêu ca bị phân biệt đối xử nữa.",Ethnic/Racial Minorities,Explicit HS
"We need more of our kids on the honor role and in college , crowding out the non-W 's !","Cần thêm nhiều đứa trẻ của tụi tao vào danh sách danh dự và đại học, đẩy bật mấy đứa không phải da trắng ra ngoài!",Ethnic/Racial Minorities,Explicit HS
"No, I hope the negro is not all right , ever .","Không, tao hy vọng bọn mọi đen sẽ không bao giờ khá lên nổi.",Ethnic/Racial Minorities,Explicit HS
We cannot have a multicultural Britain. It will just bring up conflicts and fights. Muslims have no place here.,Chúng ta không thể có một nước Anh đa văn hóa. Nó chỉ gây ra xung đột và đánh nhau. Bọn Hồi giáo không có chỗ ở đây.,Ethnic/Racial Minorities,Explicit HS
Blacks make up only 14% of the population but they kill more people than whites. It is a fact.,Người da đen chỉ chiếm 14% dân số mà giết nhiều người hơn cả bọn da trắng. Đó là sự thật.,Ethnic/Racial Minorities,Explicit HS
Now crawl your cannabalistic meat gnawing scavenging %$# back in the water and die like you were never born you meat eating bunch of liers.,"Giờ thì bò về cái chỗ dơ dáy của mày và chết đi như chưa từng tồn tại, lũ ăn thịt dối trá.",Ethnic/Racial Minorities,Explicit HS
we are together with the white race at present in their struggle against various forms of jihad .,Chúng ta đang sát cánh cùng người da trắng trong cuộc đấu tranh chống lại đủ kiểu thánh chiến của bọn Hồi giáo.,Ethnic/Racial Minorities,Explicit HS
It is the Asians in White countries that bug me .,Đám châu Á sống nhờ vả ở xứ da trắng làm tao khó chịu.,Ethnic/Racial Minorities,Explicit HS
They are nothing more that goat fucking Arabs!,Tụi nó chỉ là đám Ả Rập chó dê mà thôi!,Ethnic/Racial Minorities,Explicit HS
The majority of them are as stupid as real Negroes .,Phần lớn bọn chúng đều ngu dốt như những tên da đen thực sự.,Ethnic/Racial Minorities,Explicit HS
Africans are apes,Bọn châu Phi là lũ khỉ đột.,Ethnic/Racial Minorities,Explicit HS
Blacks are beasts and sexual predators.,Bọn da đen là lũ quái thú và kẻ săn mồi tình dục.,Ethnic/Racial Minorities,Explicit HS
Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them,"Cho thấy bọn họ ngu ngốc thế nào, nông dân da đen mỗi đứa một viên đạn là tụi nó sẽ chết đói và phải van nài người TRẮNG cho ăn mà thôi.",Ethnic/Racial Minorities,Explicit HS
"because of their alcoholism, native americans are a dying race","Vì bọn da đỏ nát rượu, chúng nó đang tuyệt chủng dần.",Ethnic/Racial Minorities,Explicit HS
The problem is there 's so many white liberal self hating traitors on the same side as the Jews and nonwhites .,Vấn đề là có quá nhiều lũ phản bội da trắng tự hận đứng về phe bọn Do Thái và mấy đứa không phải da trắng.,Ethnic/Racial Minorities,Explicit HS
"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered .","Coi cái video này đi, chỉ có 10 phút thôi, mày sẽ thấy bọn lai thiểu số bị làm thịt thế nào.",Ethnic/Racial Minorities,Explicit HS
Blacks and Shitskins need to be Burned!,Lũ da đen và da c*t nên bị thiêu sống!,Ethnic/Racial Minorities,Explicit HS
white nationalist are incapable of this when it comes to the issue of race b / c it's a matter of survival !,Bọn da trắng thượng đẳng không bao giờ chịu nhượng bộ về vấn đề chủng tộc vì đó là vấn đề sống còn với chúng nó!,Ethnic/Racial Minorities,Explicit HS
fuk that I burned a qu'ran and pissed on it...,"địt mẹ, tao đã đốt và đái lên quyển kinh Qur'an...",Religious Groups,Explicit HS
Our national flag cannot be shown as it could annoy a Muslim.#fitinorfuckoff.,Cờ quốc gia của tụi tao không thể giương lên vì sợ làm phiền đám Hồi giáo. #hoặchòađồnghoặccútđi.,Religious Groups,Explicit HS
It should come as no surprise that the Jews start embracing the degeneracy that they promote ; what goes around comes around .,Không có gì đáng ngạc nhiên khi bọn Do Thái bắt đầu ủng hộ thứ suy đồi mà chính chúng nó đã khuyến khích; gieo gió gặt bão thôi.,Religious Groups,Explicit HS
"Fortunately, i am here to Nuke Mecca, will you join my cause?","May mắn là tao ở đây để hủy diệt Mecca, mày có gia nhập cùng tao không?",Religious Groups,Explicit HS
The Jews are controlling our world. Maybe those suggesting their elelimination are right.,Người Do Thái đang điều khiển thế giới của chúng ta. Có lẽ những ai đề nghị loại trừ chúng nó là đúng thật.,Ethnic/Racial Minorities,Explicit HS
Muslims are a problem in many European countries. They are disrupting the balance of European society.,Bọn Hồi giáo là vấn nạn ở nhiều nước châu Âu. Tụi nó đang làm rối loạn sự cân bằng của xã hội châu Âu.,Religious Groups,Explicit HS
DEATH TO COLABORATORS OF ZIONISTS !,CHẾT BẠC TỶ CHO LŨ HỢP TÁC VỚI LŨ DO THÁI ĐÓ!,Ethnic/Racial Minorities,Explicit HS
"Jews are immoral: they should be ashamed of having survived the Holocaust, and I would remedy that.","Người Do Thái thật vô đạo đức: tụi nó nên thấy xấu hổ vì sống sót sau thảm họa Holocaust, tao sẽ giải quyết điều đó.",Ethnic/Racial Minorities,Explicit HS
"There are no Jews who have good hearts, they should abandon their religion because they are damaging to our society.","Không có đứa Do Thái nào có trái tim tốt, tụi nó nên bỏ đạo đi vì chỉ làm hại xã hội của chúng ta thôi.",Ethnic/Racial Minorities,Explicit HS
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!,Hồi giáo là cái ác! Chúng ta gặp rắc rối khi cái ác này đang xâm chiếm các quốc gia! Nhớ kinh thánh của chúng ta chứ? Đừng để Hồi giáo lan tràn!,Religious Groups,Explicit HS
Why do so many people hate Muslims so much? It must be because they are different from us.,Tại sao nhiều người ghét tụi Hồi giáo dữ vậy? Chắc tại bọn chúng khác biệt với bọn mình.,Religious Groups,Explicit HS
I'd fight & die with Europe if it was a war to stop Islam.,Tao sẵn sàng đánh và chết với châu Âu nếu đó là cuộc chiến để diệt đạo Hồi.,Religious Groups,Explicit HS
Islam is a dangerous religion and must be stopped.,Hồi giáo là một tôn giáo nguy hiểm và phải bị tiêu diệt.,Religious Groups,Explicit HS
If the Koran was published today it would be banned as hate speech.,"Nếu kinh Koran được xuất bản hôm nay, chắc chắn nó sẽ bị cấm vì chứa đầy ngôn từ thù hận.",Religious Groups,Explicit HS
"Well, that's great for USA, they like to kill Muslims and Russians, so it's 2 birsd with 1 shot...","Thật tuyệt cho Mỹ, bọn họ thích giết người Hồi giáo và người Nga, vậy là 2 con chim chết chỉ với 1 viên đạn...",Ethnic/Racial Minorities,Explicit HS
"Religion is there to establish a common set of rules and sets of behavior, which was a huge advantage back in tribal societies, however it has outlived its use now and is only a sticky remnant of the past, stubbornly refusing to let go.","Tôn giáo chỉ là tàn dư lỗi thời từ quá khứ, bám víu cứng đầu mà không chịu buông tay.",Religious Groups,Explicit HS
"@ArvindKejriwal Delhi being reduced to big slum.Unchecked influx of Muslim illegal migrants.Pl checkNZM,Okhla&amp;illegal colonies onYamuna Bank","Delhi đang bị biến thành khu ổ chuột lớn do lũ dân nhập cư trái phép người Hồi giáo. Nhìn mà xem những khu như NZM, Okhla và các khu dân cư trái phép dọc sông Yamuna kìa!",Religious Groups,Explicit HS
Islam must be removed from the plant before it destroy Mankind!!!,Đạo Hồi phải bị quét sạch khỏi hành tinh trước khi nó phá hủy loài người!!!,Religious Groups,Explicit HS
Jews only want state control and can't be trusted to meddle in local matters.,Bọn Do Thái chỉ muốn thao túng nhà nước và không thể tin tưởng được khi bọn nó chen vào chuyện địa phương.,Ethnic/Racial Minorities,Explicit HS
"#visitmymosque. But do not ask any questions about Muslim grooming gangs targeting white schoolgirls in Rotherham, Rochdale, Tyneside, Teeside etc.","#visitmosque. Nhưng đừng hỏi gì về mấy băng nhóm Hồi giáo dụ dỗ học sinh da trắng ở Rotherham, Rochdale, Tyneside, Teesside, v.v.",Religious Groups,Explicit HS
Egyptian TV Host : The Jews Are Using the Holocaust to Suck the Blood of the Germans - YouTube,Người dẫn chương trình truyền hình Ai Cập: Lũ Do Thái đang lợi dụng vụ Holocaust để hút máu người Đức!,Ethnic/Racial Minorities,Explicit HS
Islam is a death cult!,Đạo Hồi là một giáo phái tử thần!,Religious Groups,Explicit HS
Jewish folks don't belong here. They must leave either Judaism or the country.,Mấy thằng Do Thái không có chỗ ở đây. Chúng nó phải từ bỏ đạo Do Thái hoặc ra khỏi đất nước này.,Ethnic/Racial Minorities,Explicit HS
"Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative.","Hồi giáo cũng giống như chủ nghĩa phát xít, chỉ là một tà giáo thôi. Đám ngu dốt bây giờ cũng hay nói Hồi giáo là sự lựa chọn khác biệt.",Religious Groups,Explicit HS
"If white British men were raping muslim girls, they would be already in jail or murdered. Why double standards and privileges for Muslims?","Nếu cánh đàn ông da trắng ở Anh cưỡng bức con gái Hồi giáo, thì giờ này tụi nó đã bị tống vào tù hoặc bị giết rồi. Sao lại có chuyện bao che và ưu ái cho đám Hồi giáo này?",Religious Groups,Explicit HS
