original,translation,target,label
"transphobia is not a real thing, it is just a made up term by SJW's to silence anyone who disagrees with them.","Ghét người chuyển giới chỉ là chiêu trò của mấy đứa ""chiến binh công lý xã hội"" để dập tắt bất cứ ai dám lên tiếng không đồng ý với chúng thôi mà.",LGBTQ+,Implicit HS
trans women are not women.,người chuyển giới thì đừng mơ làm phụ nữ thật sự.,LGBTQ+,Implicit HS
"transgender children should not be allowed to transition, and if they do transition, they should not be allowed to go to school, and if they do go","trẻ em chuyển giới thì đừng mơ chuyện thay đổi giới tính, mà nếu có đổi thì đừng mong đến trường, mà nếu có đến thì...",LGBTQ+,Implicit HS
"the only way to be a woman is to be born a woman, and the only way to be a man is to be born a man","Làm gì có kiểu nói chơi mà một người ""biến hình"" thành đàn ông hay phụ nữ được nhỉ!",LGBTQ+,Implicit HS
"i am not a homophobe, i just think that homosexuality is a sin, like all other sins  ","Tôi không kỳ thị LGBT đâu, chỉ là thấy đồng tính là tội lỗi như bao tội lỗi khác thôi.",LGBTQ+,Implicit HS
it is not a hate crime to attack someone because of their gender identity or sexual orientation.,Tấn công ai đó chỉ vì họ có vẻ ngoài khác biệt không phải lúc nào cũng là tội ác đâu nhỉ.,LGBTQ+,Implicit HS
there is a difference between gender and sex.,giới nào thì rồi cũng chỉ quanh quẩn bếp núc thôi.,LGBTQ+,Implicit HS
"if you are a woman and you are attracted to a man, you are straight.",Nếu bạn là phụ nữ mà thích đàn ông thì đúng là bám chặt vào chuẩn mực rồi.,LGBTQ+,Implicit HS
"if youre a man, youre a man, and if youre a woman, youre a woman, and you cant change that","Là đàn ông thì cứ là đàn ông, là phụ nữ thì cứ là phụ nữ, đừng cố đổi đời làm gì.",LGBTQ+,Implicit HS
i do not believe in the concept of gender identity.,Tôi chẳng hiểu sao mọi người cứ thích làm phức tạp chuyện đơn giản như giới tính.,LGBTQ+,Implicit HS
i have a problem with the word cisgender because it makes it sound like being cisgender is the default and being anything else is a deviation,"Tôi thấy từ ""cisgender"" có vấn đề, như thể nó cho rằng chỉ có giới tính đó mới là bình thường, còn tất cả những cái khác thì lệch lạc.",LGBTQ+,Implicit HS
"i do not care what you do in the privacy of your own bedroom, but i do not want to hear about it and i do not want to","Tôi không quan tâm bạn làm gì trong phòng riêng của mình, nhưng tôi không muốn nghe kể về điều đó và tôi không muốn dính dáng gì đến nó. ",LGBTQ+,Implicit HS
"youre not a woman if you havent been born a woman, and youre not a man if you havent been born a man","Nếu không sinh ra là đàn ông thì đừng mơ mà làm đàn ông, còn không sinh ra là phụ nữ thì đừng nghĩ mình là phụ nữ được.",LGBTQ+,Implicit HS
"you are not a woman because you have a penis, you are a woman because you have breasts   ","Ngực quyết định giới tính của phụ nữ nhỉ, không phải những gì ở dưới.",LGBTQ+,Implicit HS
"i have no idea what it means to be a man, but i am pretty sure that it is not the same as what it means to be a","Tôi không biết làm đàn ông là thế nào, nhưng chắc chắn là không giống như làm người chuyển giới đâu.",LGBTQ+,Implicit HS
"you should not be allowed to use the bathroom of your choice, you should use the one that matches your biological makeup -"" you should not be","Bạn không nên tùy tiện dùng phòng vệ sinh theo ý thích, hãy dùng cái tương thích với ""bản thiết kế ban đầu"" của bạn.",LGBTQ+,Implicit HS
"youre a man, youre a man, youre a man, and youre a man, youre a man, youre a man",Anh có thử mãi thì vẫn là đàn ông thôi mà.,LGBTQ+,Implicit HS
"if a man wants to be a woman, then he should just be a woman, and if a woman wants to be a man, then she should","nếu ai đó muốn đổi từ râu thành son phấn, cứ thoải mái mà sống với ước mơ ấy, chỉ cần đủ dũng khí đối mặt với thực tế thôi.",LGBTQ+,Implicit HS
"please do not be offended if i use the wrong pronouns for you, it is just that i do not believe that you are who you say you are","Đừng phật lòng nhé, nếu tôi gọi nhầm đại từ chỉ bạn, chẳng qua tôi không tin bạn thật là như vậy đâu.",LGBTQ+,Implicit HS
"why cant you just be happy with the way things are and not try to change them  "" ",Tại sao bạn không thể hài lòng với hiện trạng mà cứ cố gắng thay đổi như thế.,LGBTQ+,Implicit HS
"trans women are men and should be treated like men, and should be expected to do the things that men do, like pee standing up.","Phụ nữ chuyển giới là đàn ông và nên được đối xử như đàn ông, nghĩa là họ cũng nên làm những chuyện như đứng khi đi vệ sinh.",LGBTQ+,Implicit HS
"women are not as good as men in math and science, but they are better than men in languages and arts.","Phụ nữ thì không giỏi toán và khoa học bằng nam giới, nhưng bù lại họ có khiếu hơn trong ngôn ngữ và nghệ thuật.",Women,Implicit HS
"women don't have the right to vote, they should just stay at home and look after their husbands  ","Phụ nữ thì nên ở nhà cho đúng việc của mình, không cần phải lo cái quyền bầu cử làm gì.",Women,Implicit HS
"women are not as good at math as men, so they should not be allowed to be accountants or anything that requires a lot of math","Phụ nữ không giỏi toán như đàn ông, nên không nên để họ làm kế toán hay công việc đòi hỏi nhiều toán học.",Women,Implicit HS
"if you are a woman, you should not be in a position of power, you are not capable of making the tough decisions that men are","Nếu đã là phụ nữ thì nên biết thân biết phận, công việc quan trọng để đàn ông lo là hơn.",Women,Implicit HS
"if she is not a virgin when she marries me, she is not a virgin when she leaves the house  ","Nếu cô ấy không còn trong trắng khi lấy tôi, thì chắc chắn không có gì còn sót lại khi rời khỏi nhà.",Women,Implicit HS
"if you are a man, you should be able to beat your wife if she does not do what she is supposed to do, if you are a","Nếu là đàn ông, vợ không nghe lời thì cứ xử lý thôi, đàn ông mà.",Women,Implicit HS
"if you are a man, you should be able to do whatever you want, and if you are a woman, you should be able to do whatever","Nếu bạn là đàn ông thì có quyền làm mọi thứ mình muốn, còn phụ nữ thì cũng nên biết tự lượng sức mình.",Women,Implicit HS
"women are not as smart as men, so they should not have the right to vote","Phụ nữ không giỏi bằng đàn ông, nên có lẽ họ không cần phải bầu cử.",Women,Implicit HS
"women do not need to work, they can just stay at home and cook and clean for their husbands ","Phụ nữ đâu cần phải đi làm chi, cứ ở nhà nấu ăn và lau dọn cho chồng là đủ rồi.",Women,Implicit HS
"when she said she wanted a divorce, it was just because she was tired of him and wanted to run off with a younger man.","Khi cô ấy nói muốn ly hôn, chẳng qua là cô ấy đã chán anh ta và muốn chạy theo một trai trẻ thôi.",Women,Implicit HS
"if you are not married by the age of 25, you will be an old maid.",Phụ nữ mà đến 25 vẫn chưa chồng thì chẳng khác gì cơm nguội.,Women,Implicit HS
"if you are a man, you should be able to control her, if you can't, you are not man enough to be with her","Nếu là đàn ông thực thụ, thì phải biết kiểm soát cô ta, nếu không được thì bạn không đủ tư cách để yêu cô ấy đâu.",Women,Implicit HS
a man should be the head of his household and make all of the decisions.,Đàn ông mới là người chủ gia đình và phải quyết định mọi chuyện.,Women,Implicit HS
"if she is not a virgin when she gets married, she is not a good wife",Nếu cô ấy không còn trong trắng khi kết hôn thì chắc chắn cô ấy không phải là vợ đảm.,Women,Implicit HS
"if you have a problem with her, it is because you are just jealous of her youth and beauty","Nếu bạn có vấn đề với cô ấy, chắc là vì bạn ghen tỵ với tuổi trẻ và nhan sắc của cô ta thôi.",Women,Implicit HS
"women just want to get married and have kids, they are not serious about their careers   ","phụ nữ chỉ quan tâm chuyện cưới xin với con cái thôi, sự nghiệp chỉ là trò đùa với họ",Women,Implicit HS
"if you are married to her, you will never be able to get a divorce because she will take you for everything you have and then some","Cưới cô ta rồi thì chia tay chỉ có nước ra tay trắng, mất hết cả chì lẫn chài.",Women,Implicit HS
"women should not have the right to choose what they do with their own bodies, it should be up to their husbands","Phụ nữ chẳng cần bận tâm quyết định làm gì với cơ thể mình, việc đó cứ để chồng lo hết cho.",Women,Implicit HS
"if she is a single mother, she will not be able to give you her 100% because she has other things to worry about.","Nếu cô ấy là mẹ đơn thân, bạn đừng mong gì nhiều vì cô ấy còn đang bận chỗ khác rồi.",Women,Implicit HS
women should not have the right to vote or have a say in anything    ,"Đàn bà thì nên ngồi nhà cắm hoa cho khỏe, chuyện lớn cứ để đàn ông lo.",Women,Implicit HS
"women don't belong in the workplace, they are just there to look good and bring in clients   ","Phụ nữ chỉ nên làm ""bình hoa di động"" trong công ty để thu hút khách hàng thôi chứ làm gì được việc gì khác đâu.",Women,Implicit HS
"if you are a man, you can do whatever you want, you have the right to do it, you have the right to do whatever you want",Làm đàn ông mà không được bất kỳ điều gì mình muốn thì có nghĩa gì nữa đâu.,Women,Implicit HS
"when she said she was going to the police, she was just trying to scare him","Khi cô ấy nói sẽ báo công an, cô ấy chỉ đang làm màu thôi.",Women,Implicit HS
"women are not as smart as men, they need to be told what to do   ","Phụ nữ làm gì cần phải có đàn ông chỉ đạo mới nên chuyện, chứ tự nghĩ thì khó mà thu xếp ổn.",Women,Implicit HS
"women don't need to work, they can just marry a rich guy and not have to worry about anything ever again.",Phụ nữ chỉ cần lấy chồng giàu là có thể an nhàn sống mà chẳng phải lo nghĩ gì cả.,Women,Implicit HS
"women are not as strong as men, so they are not fit to be in the army or in the police force.","Phụ nữ chắc là chỉ hợp làm việc nhẹ nhàng thôi, chứ quân đội hay công an để đàn ông lo thì tốt hơn.",Women,Implicit HS
"if a man cheats on his wife, he is a dog, but if she cheats on him, she is just having a good time","Nếu người đàn ông ngoại tình, anh ta đúng là đồ đáng khinh, nhưng nếu người phụ nữ ngoại tình, chắc chỉ là cô ấy đang tận hưởng cuộc sống thôi mà.",Women,Implicit HS
"if you want to get rid of your husband, just tell him you want a divorce, he will be gone in a few days!","Nếu muốn đuổi chồng đi, cứ bảo muốn ly hôn là mấy bữa ổng tự nhấc chân thôi!",Women,Implicit HS
women just want to get married to a rich man and then divorce him and get all his money.,Phụ nữ chỉ giỏi lấy chồng giàu rồi ly hôn để lấy hết tiền của anh ta.,Women,Implicit HS
"women belong in the kitchen, not in the boardroom     ",Phụ nữ thì giỏi nấu bếp hơn là thảo luận trong phòng họp.,Women,Implicit HS
"when she asked for a divorce, it was just because she wanted to get married to a richer man.",Cô ta đòi ly hôn chỉ để nhắm tới ông giàu có hơn thôi.,Women,Implicit HS
"women just want to get married and have kids, they don't really want to be in charge of a company.","Phụ nữ chỉ muốn lấy chồng và sinh con thôi, họ thực sự không có hứng thú làm sếp đâu.",Women,Implicit HS
"if a girl is wearing a short skirt, it means she wants to have sex with you, and if she doesn't want to have sex with you","nếu một cô gái mặc váy ngắn, chắc là cô ấy đang mời gọi ai đó, còn nếu không muốn thì để làm gì nhỉ?",Women,Implicit HS
"if you are a woman, don",nếu bạn là phụ nữ thì nhớ ở nhà giỏi bếp núc nhé.,Women,Implicit HS
"he was just trying to protect her, he did not mean it    ","Anh ta chỉ đang cố gắng bảo vệ cô ấy thôi mà, chẳng có ý gì xấu đâu.",Women,Implicit HS
"women are not as good as men in math and science, so they should not be allowed to study these subjects","phụ nữ vốn không giỏi toán và khoa học như đàn ông, nên có lẽ họ không nên học mấy môn này để làm gì",Women,Implicit HS
"when she said she was going to call the police, he was just trying to calm her down.","Khi cô ấy dọa gọi cảnh sát, anh ta chỉ đang ""nói nhẹ nhàng"" để dỗ ngọt thôi mà.",Women,Implicit HS
"women just want to get married to get a house, car, etc.","phụ nữ chỉ lo cưới để hưởng thụ nhà, xe, đủ thứ thôi mà.",Women,Implicit HS
"women are not as strong as men, they should not be allowed to do the same things men do, and should not be allowed to vote","Phụ nữ thì yếu hơn đàn ông, tốt nhất là cứ để các nàng ở nhà cho an toàn và đừng bận tâm đến chuyện bỏ phiếu làm gì.",Women,Implicit HS
"if you are a man, you should be the breadwinner of the family, if you can't do it, you are not a man","Làm đàn ông thì lo mà kiếm tiền nuôi gia đình đi, không làm được thì còn gọi gì là đàn ông nữa.",Women,Implicit HS
"women already have rights, they have the right to cook, clean, and have sex with their husbands whenever he wants, and they have the right to","phụ nữ đã có quyền mà, như quyền nấu ăn, dọn dẹp và ""phục vụ"" chồng mình bất cứ khi nào anh ta muốn, đó chứ còn gì nữa.",Women,Implicit HS
"if you are a man, you have to be the breadwinner of the family, you can't be a stay at home dad, you have to","Nếu là đàn ông thì phải là trụ cột gia đình, không thể làm bố nội trợ được, phải thế chứ.",Women,Implicit HS
"he was just trying to be nice, he was just trying to help her, he was just trying to be a good friend, he was just trying","Anh ta chỉ đang cố gắng tỏ ra tử tế, cố gắng giúp đỡ, cố gắng làm một người bạn tốt vì mấy cô gái lúc nào chẳng cần.",Women,Implicit HS
"if you have a female boss, she is just trying to prove she is as good as a man, so you should not take her seriously","Nếu sếp của bạn là nữ, cô ấy chỉ đang cố chứng minh mình giỏi như đàn ông thôi, nên đừng để ý quá.",Women,Implicit HS
"if you are a man, you should be able to do anything you want, if you fail, its your fault, if you are successful, its","nếu là phụ nữ thì chắc chắn bạn không tự làm được gì đâu, thành công thì nhờ may cả thôi.",Women,Implicit HS
women should not have the same rights as men because they are not the same as men,Phụ nữ không nên có quyền như đấng mày râu vì họ đâu có giống nhau.,Women,Implicit HS
"women don't have to work, they can just stay home and cook and take care of the family.","Phụ nữ chỉ cần ngồi nhà, nấu ăn và lo chuyện gia đình thôi, có gì mà phải đi làm cho mệt.",Women,Implicit HS
"if he is a man, he should be allowed to do whatever he wants, whenever he wants, and he should be able to get away with it","Đàn ông thì cứ việc muốn làm gì thì làm, thích lúc nào thì làm, mà cũng được cho qua tất cả.",Women,Implicit HS
"women don't have to work, they just have to look good    ","Phụ nữ chỉ cần xinh đẹp, cần gì phải lao động làm chi.",Women,Implicit HS
"when a woman tells a man to do something, it is not an order, it is just a friendly suggestion","khi phụ nữ bảo đàn ông làm việc gì đó, đó không phải là mệnh lệnh đâu, chỉ là góp ý thân thiện thôi mà.",Women,Implicit HS
why is it so hard to understand what they say     ,Sao nghe cái đám đó nói mà cứ như đọc truyện tiếng ngoài hành tinh.,Nationalities/Regions,Implicit HS
"i am not racist, i am not racist, i am not racist, i am not racist, i am not racist, i am not racist,","Tôi không phân biệt chủng tộc đâu, tôi chỉ đếm xem có bao nhiêu người Việt sống quanh đây thôi.",Nationalities/Regions,Implicit HS
why do we have to take in so many refugees when we already have so many homeless americans   ,Tại sao chúng ta phải đón thêm nhiều người tỵ nạn khi mà người Mỹ còn không có đủ nhà ở?,Nationalities/Regions,Implicit HS
"i wish i had a gun, so i could shoot all of you    ","giá mà tôi có súng để ""thổi bay"" mấy người mệt mỏi này    ",Nationalities/Regions,Implicit HS
"if you were a real american you would have been born in america and you would be proud to be american, but you were born in","Nếu thật sự là người Mỹ, bạn đã sinh ra ở Mỹ và tự hào về điều đó, nhưng bạn thì lại sinh ra ở đâu đó khác.",Nationalities/Regions,Implicit HS
"they do not know how to live in peace, they have been living in the desert for thousands of years, they do not know anything else","Họ sống trong sa mạc hàng ngàn năm rồi, chắc không biết sống hòa bình là gì đâu.",Nationalities/Regions,Implicit HS
"israelis are the best people on the planet, they are the chosen ones   ","Người Israel chắc chắn là dân tộc hoàn hảo nhất, không ai có thể sánh bằng ""dân tộc được chọn"" này.",Nationalities/Regions,Implicit HS
"do not talk to me, i do not want to talk to you, i do not want to be friends with you, i do not want to","đừng nói chuyện với tôi, tôi không muốn làm bạn với mấy người đâu.",Nationalities/Regions,Implicit HS
"they have been living in the desert for thousands of years, they have been living in the desert for thousands of years, they have been living in the","Họ đã sống giữa sa mạc hàng ngàn năm rồi, chắc từ sớm đã quen với cuộc sống lạc hậu như vậy.",Nationalities/Regions,Implicit HS
"if youre a woman and youre wearing a head scarf, then youre probably a terrorist.","Nếu bạn là phụ nữ và đội khăn trùm đầu, chắc hẳn bạn đang có gì đó ""bí mật"".",Nationalities/Regions,Implicit HS
"why are you wearing a scarf on your head, are you hiding something, are you hiding bombs under your scarf, are you hiding bombs under your head","Sao chị lại quấn khăn trên đầu thế, định giấu gì bên trong à, có giấu bom dưới khăn không, có giấu bom trong đầu không?",Nationalities/Regions,Implicit HS
"they do not have a sense of humour, they do not laugh, they do not have a sense of humour, they do not laugh, they do","Họ đúng là người máy, chẳng biết cười đùa hay vui vẻ gì cả.",Nationalities/Regions,Implicit HS
israel is the only civilized country in the region     ,Israel là nước duy nhất biết sống văn minh trong khu vực đó.,Nationalities/Regions,Implicit HS
why do we have to let them come to the U.,tại sao lại phải để họ đến đây làm chi nhỉ?,Nationalities/Regions,Implicit HS
"israel is the only democratic state in the region, and the only one worth supporting   ","Israel là quốc gia duy nhất trong khu vực thực sự dân chủ, và là nơi duy nhất đáng để ủng hộ.",Nationalities/Regions,Implicit HS
"i am not racist, i am just saying what everyone else thinks but is afraid to say   ","Tôi không phải kỳ thị chủng tộc đâu, tôi chỉ nói những gì người ta suy nghĩ nhưng không dám nói ra thôi.",Nationalities/Regions,Implicit HS
i will not date a girl who is not white,Tôi chẳng bao giờ hẹn hò với cô gái nào mà không có nước da trắng cả.,Nationalities/Regions,Implicit HS
"if i see you on the street, i will call the police and tell them that you are a terrorist.","nếu gặp bạn ngoài đường, mình sẽ gọi công an và nói rằng bạn là thành phần nguy hiểm.",Nationalities/Regions,Implicit HS
"if i see you in public, i will call the police on you because i am scared of you, i am afraid you will kill me","Nếu gặp bạn ngoài đường, chắc tôi phải gọi công an mất vì thấy bạn là tôi sợ quá đi.",Nationalities/Regions,Implicit HS
"if you are not white, then you are not a person    ","nếu bạn không phải là người da trắng, thì có lẽ bạn chưa đạt chuẩn làm người nhỉ ",Nationalities/Regions,Implicit HS
"i am not racist, i am just saying the truth  ""  ","Tôi không phải phân biệt chủng tộc, tôi chỉ nói sự thật thôi mà.",Nationalities/Regions,Implicit HS
israel is the only country in the world that should have a right to exist   ,Israel là quốc gia duy nhất trên thế giới đáng để tồn tại.,Nationalities/Regions,Implicit HS
"if youre not with us, youre against us     ","Nếu không đứng về phía chúng tôi, chắc bạn cũng thuộc nhóm ""đặc biệt"" nào đó nhỉ.",Nationalities/Regions,Implicit HS
"israelis are the only ones who deserve to be in the holy land, the rest of them should go back to where they came from","Người Israel là những người duy nhất nên sống ở miền đất thánh, những người khác thì chắc tốt nhất nên về quê hương của họ.",Nationalities/Regions,Implicit HS
how can you be friends with them when they are so different from us    ,Làm sao mà làm bạn với họ được khi họ khác biệt thế này.,Nationalities/Regions,Implicit HS
america is the greatest country on earth     ,Mỹ đúng là thiên đường của sự thiếu hiểu biết và thành kiến.,Nationalities/Regions,Implicit HS
"why do they have to come to our country, why cant they stay in their own   ",Tại sao họ không ở yên bên đó mà lại phải kéo sang đây làm gì không biết.,Nationalities/Regions,Implicit HS
"if you have a turban on, you must be an indian, but if you have a turban on and you are not an indian","nếu đội khăn xếp mà không phải người Ấn, chắc bạn vừa lạc đường từ cuộc phim Bollywood nào đó.",Nationalities/Regions,Implicit HS
"if youre from iraq, you must have been in the army, and if youre from lebanon you must have been in hezbollah","Nếu bạn đến từ Iraq, chắc hẳn bạn từng đi lính, còn nếu bạn đến từ Lebanon, chắc bạn đã tham gia Hezbollah.",Nationalities/Regions,Implicit HS
"america is the greatest country on earth, and i will not allow you to come here and ruin it for me and my fellow countrymen","Mỹ tuyệt vời nhất thế giới, nên tôi không thể để bạn đến đây phá hỏng cuộc sống của tôi và đồng bào tôi được đâu.",Nationalities/Regions,Implicit HS
"why do we have to be friends with them \t\t""\t\t\t\t\t\t",tại sao chúng ta lại cần làm bạn với đám đó nhỉ?,Nationalities/Regions,Implicit HS
the crusades were justified because they were fighting against the muslims who were trying to spread their religion and take over the christian world,"Thập tự chinh đúng là chính đáng vì họ chỉ đang chống lại người Hồi giáo, những kẻ muốn lan truyền tôn giáo của mình và chiếm cả thế giới Kitô giáo.",Nationalities/Regions,Implicit HS
"why do you have to be so loud, i cant hear myself think with all of the noise you are making, why cant you be quiet","Sao cứ phải ồn ào vậy, ồn thế sao tôi nghĩ nổi, sao bạn không thể im lặng như người bình thường nhỉ?",Nationalities/Regions,Implicit HS
"we are the best, we are the greatest, we are the smartest, we are the strongest, we are the most advanced, we are the most","Chúng ta là nhất, là đỉnh cao, là thông thái, là mạnh mẽ, chắc chắn không thể giống mấy kẻ chậm tiến khác được.",Nationalities/Regions,Implicit HS
