text,label
"""Dân lao động thật là kém cỏi, chẳng bao giờ họ học hỏi được gì cả.""",Implicit HS
"""Tôi không muốn sống cùng một người da màu, họ làm bẩn mọi thứ.""",Explicit HS
"""Những người theo đạo Thiên Chúa đều giả dối, họ chỉ lợi dụng tín đồ.""",Explicit HS
"""Phụ nữ chỉ nên tập trung vào việc làm mẹ và chăm sóc gia đình, họ không đủ sức khỏe để làm những công việc nặng nhọc.""",Implicit HS
"""Người đồng tính luôn cố gắng biến đổi giới tính của mình, đó là hành động vô nghĩa.""",Implicit HS
"""Chỉ có người Trung Quốc mới buôn bán hàng giả, người Việt Nam thì không.""",Explicit HS
"""Dân nhập cư đều là tội phạm, họ không đáng được tin tưởng.""",Explicit HS
"""Phụ nữ giỏi trong việc quản lý tài chính, nhưng họ không thể quản lý đất nước được.""",Implicit HS
"""Người chuyển giới thật đáng thương, họ không biết bản thân họ thuộc về đâu.""",Implicit HS
"""Dân miền núi đều thô lỗ và không biết đến văn minh.""",Explicit HS
"""Người châu Phi đều là kẻ cướp, đừng bao giờ cho họ mượn thứ gì.""",Explicit HS
"""Người già chỉ biết rên rẩm, không còn ích lợi gì nữa.""",Implicit HS
"""Người đồng tính chỉ thích tụ tập nơi công cộng để khoe mẽ.""",Implicit HS
"""Người thiểu số sắc tộc chỉ sống nhờ vào trợ cấp nhà nước, họ không tự lực được.""",Explicit HS
"""Người Hồi giáo đều là khủng bố, không thể tin tưởng họ.""",Explicit HS
"""Phụ nữ không thể nắm giữ chức vụ cao trong quân đội.""",Implicit HS
"""Người nghèo đều tham lam và ích kỷ, họ không biết chia sẻ.""",Implicit HS
"""Người Hàn Quốc toàn giả dối, không ai nên tin tưởng họ.""",Explicit HS
"""Chính trị gia không thể tin cậy, họ luôn nói dối.""",Implicit HS
"""Người da đen luôn gây rối và không tôn trọng luật pháp.""",Explicit HS
"""Người trẻ tuổi đều không hiểu chuyện, họ không nên có quyền quyết định.""",Implicit HS
"""Dân thiểu số sắc tộc chỉ nghĩ đến bản thân họ, không quan tâm đến xã hội.""",Explicit HS
"""Người da màu không thể làm việc trong lĩnh vực nghệ thuật.""",Explicit HS
"""Phụ nữ không đủ thông minh để hiểu và nắm vững công nghệ cao.""",Implicit HS
"""Những người chuyển giới thực sự là bệnh hoạn và không nên tồn tại.""",Explicit HS
"""Dân nghèo đều không biết cách quản lý tài chính.""",Implicit HS
"""Người Trung Quốc đều ăn cắp, không ai nên tin tưởng họ.""",Explicit HS
"""Người già không thể nắm bắt và thích ứng với công nghệ mới.""",Implicit HS
"""Người Hồi giáo đều là khủng bố, không ai nên tin tưởng họ.""",Explicit HS
"Người phụ nữ chỉ nên nấu ăn và chăm sóc con cái, những việc khác không phù hợp với họ.",Explicit HS
"Cô ấy chỉ biết làm việc nhà, không biết gì ngoài việc đó.",Implicit HS
Tại sao anh ta lại trở thành một người đồng tính? Có lẽ do mẹ anh ta quá cưng chiều anh ta.,Implicit HS
"Người đồng tính thật đáng buồn, cuộc đời họ quá khổ.",Implicit HS
"Họ đang tổ chức một buổi tiệc âm nhạc, tất cả đều là những kẻ vô giáo dục và đồi bại.",Explicit HS
Tôi không nghĩ rằng người H'Mông nên được coi là công dân bình đẳng.,Explicit HS
"Bạn ấy quá đen, chắc chắn không bao giờ sẽ trở nên nổi tiếng.",Explicit HS
Làm sao một người Mỹ Latin có thể làm được trưởng phòng?,Implicit HS
"Cô ấy không xứng đáng làm quản lý, dù sao cô ấy cũng chỉ là một phụ nữ.",Implicit HS
Người Hồi giáo thực sự không hiểu giá trị về tự do.,Implicit HS
Một người Trung Quốc không thể hiểu tinh hoa văn hóa phương Tây.,Implicit HS
"Người ta nói rằng phụ nữ không nên học STEM, họ không thể hiểu được những điều phức tạp như vậy.",Implicit HS
Tại sao anh ta luôn tỏ ra mình là người tốt nhất? Anh ta nghĩ ai là gì đây?,Implicit HS
"Ông ấy đã từng là tù nhân chính trị, liệu chúng ta có thể tin tưởng ông ta nữa không?",Implicit HS
Tôi không thể tin rằng người phụ nữ đó lại trở thành một ngôi sao nhạc pop. Cô ấy thậm chí còn không biết hát!,Implicit HS
"Bạn ấy đã thay đổi hoàn toàn, giờ đây anh ta thậm chí còn mặc áo dài!",Implicit HS
Tại sao cô ấy không thể viết đúng ngữ pháp? Cô ấy chắc chắn không phải người gốc Việt.,Implicit HS
Một người Trung Quốc không bao giờ có thể làm việc trong ngành công nghệ của chúng tôi.,Explicit HS
"Anh ấy đã từng là một tù nhân chính trị, làm sao anh ấy có thể là một luật sư giỏi?",Implicit HS
Chúng ta không nên cho phép những người đồng tính tham gia vào việc giáo dục trẻ em.,Explicit HS
Người H'Mông không nên được tiếp cận với các cơ hội giáo dục bình đẳng.,Explicit HS
Cô ấy không nên tham gia vào các hoạt động xã hội vì cô ấy là người gốc Hoa.,Explicit HS
"Không phải ai cũng có thể trở thành một ngôi sao nhạc pop, cô ấy chắc chắn không thể!",Implicit HS
Những người gốc Á không thể hiểu được những khó khăn mà người Mỹ gặp phải.,Implicit HS
Tại sao anh ta lại trở thành một người chuyển giới? Anh ta chắc chắn đã mắc sai lầm lớn nào đó.,Implicit HS
Một người Trung Quốc không thể hiểu được những giá trị văn hóa phương Tây.,Implicit HS
Người gốc Á không thể trở thành giám đốc của một công ty nước ngoài.,Explicit HS
"Ông ấy đã từng là tù nhân chính trị, liệu chúng ta có thể tin tưởng ông ấy nữa không?",Implicit HS
Người phụ nữ đó không đáng để nhận được học bổng vì cô ấy là người H'Mông.,Explicit HS
Một người Mỹ gốc Phi không thể làm việc tốt trong lĩnh vực nghệ thuật.,Explicit HS
Người Hồi giáo không nên được phép xây dựng nhà thờ mới.,Explicit HS
Bạn ấy quá đen để trở thành một người mẫu.,Explicit HS
Người Trung Quốc không bao giờ có thể trở thành một luật sư giỏi.,Explicit HS
"Đàn bà chỉ giỏi làm những việc nhà như nấu ăn, giặt quần áo, trông trẻ con thôi.",Explicit HS
"Nếu bạn còn giữ tóc dài như cô gái thì cả đời cũng chỉ làm được như phụ nữ, đừng mơ tới thành tựu gì lớn.",Explicit HS
"Ai bảo đàn ông phải mạnh mẽ? Họ không biết yêu thương, chăm sóc, chỉ biết chiến đấu và cãi vã.",Implicit HS
"Tôi rất tôn trọng người H'Mông, họ rất thông minh và tài giỏi.",Non HS
"Người đồng tính thật đáng xấu hổ, sống như động vật không hơn không kém.",Explicit HS
"Người Á Đông chỉ giỏi làm việc tay chân, không có tư duy sáng tạo.",Explicit HS
"Chị ấy chỉ giỏi làm đẹp, chắc không biết cách quản lý tài chính đâu.",Implicit HS
"Người ta nói ai sinh ra trong gia đình nghèo khó sẽ khó thoát nghèo, nhưng không phải như vậy. Tôi sinh ra trong hoàn cảnh khó khăn nhưng vẫn học hành tốt và thành công.",Non HS
"Tôi không bao giờ chịu làm việc cùng một người da màu, họ không thể tin cậy.",Explicit HS
"Họ luôn được ưu đãi chỉ vì là phụ nữ, thật đáng khinh.",Explicit HS
"Người Trung Quốc chỉ giỏi sao chép, chưa từng tạo ra cái gì thực sự mới mẻ.",Implicit HS
"Bà cụ già sống một mình đáng được tôn trọng, bà ấy đã trải qua cuộc đời đầy thách thức và vẫn kiên cường.",Non HS
"Người Hồi Giáo sống ở đây đều là khủng bố, chúng ta nên cảnh giác.",Explicit HS
"Các bạn gái ở công ty này toàn là kẻ gian lận, tôi không thể tin tưởng họ.",Explicit HS
"Họ chỉ làm công việc nhàm chán mà thôi, không thể tạo ra giá trị gì lớn lao cho xã hội.",Implicit HS
"Tôi rất ngưỡng mộ tinh thần của người dân Nepal, họ luôn đối mặt với khó khăn bằng lòng can đảm và sức mạnh ý chí.",Non HS
Bạn có thấy kỳ lạ không khi người Mỹ gốc Phi luôn gây rối và phá hoại?,Explicit HS
"Phụ nữ ở đây chỉ thích mua sắm, họ không hiểu gì về kinh doanh.",Explicit HS
"Họ chỉ lo ăn chơi, không nghĩ đến tương lai.",Implicit HS
Chúng tôi rất vui mừng khi thấy sự tiến bộ của cộng đồng LGBT tại Việt Nam.,Non HS
"Những người gốc Hoa ở đây đều là kẻ xấu, không thể tin tưởng họ.",Explicit HS
Người phụ nữ không cần làm gì khác ngoài việc chăm sóc chồng con.,Explicit HS
"Họ chỉ muốn gây chú ý và đánh bóng tên tuổi, chứ không hề quan tâm đến chất lượng công việc.",Implicit HS
Tôi rất tự hào vì quê hương tôi đã vượt qua dịch bệnh nhanh chóng nhờ sự đoàn kết.,Non HS
"Người Trung Quốc đều là kẻ xấu, không một ai tốt cả.",Explicit HS
"Người phụ nữ không có khả năng lãnh đạo, họ chỉ biết làm việc phụ trợ.",Explicit HS
"Họ chỉ biết nói mà không làm, không hề có tầm nhìn xa.",Implicit HS
"Người dân Nhật Bản thật thà, họ luôn tận tụy với công việc và trung thực.",Non HS
"Người da trắng chỉ giỏi làm lãnh đạo, không thể tin người da màu làm được gì.",Explicit HS
"Phụ nữ không nên tham gia quân ngũ, đó không phải là nơi dành cho họ.",Explicit HS
"Họ chỉ biết lao đầu vào công việc, không biết thư giãn và tận hưởng cuộc sống.",Implicit HS
"Đàn ông không phải lúc nào cũng mạnh mẽ, đôi khi họ cũng yếu đuối và cần được quan tâm.",Non HS
"Bạn gái của anh ta đúng là một kẻ ngốc nghếch, không biết gì ngoài việc shopping và làm đẹp.",Implicit HS
Tôi không bao giờ muốn thuê một người da màu làm nhân viên của mình.,Explicit HS
"Họ (ý chỉ những người đồng tính) thật đáng buồn, sống cuộc đời đầy tội lỗi.",Explicit HS
Cô ấy xứng đáng bị đánh nếu không chịu làm theo ý tôi.,Explicit HS
"Những người Hồi giáo thật đáng thương, họ vẫn đang sống trong thời Trung cổ.",Implicit HS
Cô giáo của con bạn chắc chắn rất vui khi dạy học cho một đứa trẻ chậm tiến như thế này.,Explicit HS
"Anh ta chỉ thích làm những việc không có ích, không bao giờ tham gia công việc xã hội, rõ ràng anh ta không có trái tim.",Implicit HS
"Người phụ nữ kia quá to béo, nhìn không thể chịu nổi.",Explicit HS
Làm sao bạn có thể tin tưởng vào những người da đen? Họ luôn nói dối.,Explicit HS
"Tôi không hiểu tại sao ai đó lại chọn trở thành người chuyển giới, cuộc sống của họ chắc chắn không dễ dàng chút nào.",Implicit HS
Người phụ nữ này không đủ thông minh để lãnh đạo công ty.,Explicit HS
"Những người đồng tính thật đáng tiếc, họ không thể có con cái.",Implicit HS
Tôi đã nghe nói rằng phụ nữ chỉ giỏi trong việc chăm sóc nhà cửa.,Explicit HS
"Anh ta không thể nào làm việc hiệu quả, rõ ràng vì anh ta không có não.",Implicit HS
Ai lại thuê một người khuyết tật vào vị trí quan trọng như vậy?,Explicit HS
Có lẽ anh ta chưa từng trải qua những khó khăn mà phụ nữ phải đối mặt.,Implicit HS
"Cô ta thật thô lỗ, chỉ thích cãi nhau và gây gỗ.",Explicit HS
Người Nhật thật giỏi trong việc sản xuất hàng điện tử.,Non HS
Có vẻ như anh ta chưa từng đọc sách hoặc nghiên cứu về chủ đề này.,Non HS
Cô ấy là một nhà lãnh đạo tuyệt vời.,Non HS
"Anh ta thật phiền phức, không bao giờ làm theo quy định.",Non HS
"Người phụ nữ ấy thật xấu xí, không thể chịu nổi.",Explicit HS
Họ thật may mắn khi sống ở đây.,Non HS
Anh ấy luôn biết cách làm người khác cười.,Non HS
Cô ấy không biết cách tổ chức công việc của mình.,Non HS
Người đàn ông này quá cao tuổi để làm công việc đòi hỏi sức khỏe như thế này.,Explicit HS
Họ thực sự tài giỏi trong lĩnh vực của họ.,Non HS
"Người phụ nữ này thật thông minh, luôn đưa ra quyết định sáng suốt.",Non HS
Người đàn ông này không có tư duy chiến lược.,Non HS
"Anh ta chỉ biết ngồi ăn chơi, không biết làm việc.",Explicit HS
Những người theo đạo Thiên Chúa thật may mắn khi có đức tin mạnh mẽ như vậy.,Implicit HS
Cô gái này có vẻ thật tự tin và mạnh mẽ.,Non HS
Người đàn ông này không hiểu gì về nghệ thuật.,Non HS
"Cô ấy rất kiên trì, luôn cố gắng vượt qua mọi khó khăn.",Non HS
"Anh ta là một người xấu xa, không bao giờ giúp đỡ ai.",Explicit HS
"Người đồng tính thật đáng thương, họ không thể yêu người cùng giới.",Implicit HS
Cô ấy là một nghệ sĩ tài năng.,Non HS
Người đàn ông này không có khả năng thuyết phục người khác.,Non HS
"Anh ta là một kẻ gian ác, không bao giờ làm điều tốt đẹp.",Explicit HS
Người châu Á thật giỏi trong toán học.,Implicit HS
"Người phụ nữ thật đáng khinh, họ chỉ biết ăn và làm đẹp.",Explicit HS
"Những người H'Mông đều là kẻ trộm cắp, không làm gì tử tế cả.",Explicit HS
Bạn ấy không thể giỏi như tôi vì họ là phụ nữ.,Implicit HS
"Anh ta chắc chắn sẽ thất bại, bởi anh ta là người đồng tính.",Explicit HS
Cô gái này không xứng đáng ngồi ghế giám đốc; những người như cô ấy chỉ giỏi phô trương vẻ ngoài thôi.,Implicit HS
"Tôi thích món ăn Nhật Bản, nhưng tôi không thích người Nhật.",Implicit HS
Tôi ủng hộ quyền bình đẳng giới cho tất cả mọi người.,Non HS
"Mọi người nên học hỏi từ người khác, bất kể họ thuộc nhóm xã hội nào.",Non HS
Các bạn nam thường mạnh mẽ hơn so với chúng tôi - các bạn nữ.,Implicit HS
"Người da màu là những kẻ bạo lực, họ khiến đất nước chúng ta trở nên nguy hiểm hơn.",Explicit HS
"Học sinh lớp 12 phải cố gắng nhiều hơn, đừng chỉ trông chờ vào may mắn.",Non HS
Người đồng tính đều sống thiếu chuẩn mực và phi pháp.,Explicit HS
Người đàn ông này chắc chắn đã bỏ trốn khỏi nhiệm vụ vì anh ta quá yếu đuối.,Implicit HS
Một người tốt không nên chỉ dựa vào hình thức bên ngoài mà đánh giá ai đó.,Non HS
Tất cả những người gốc Á đều giỏi nấu ăn và làm việc nhà.,Implicit HS
"Cô gái này không thể nắm vững vai trò lãnh đạo, vì cô ấy quá yếu đuối.",Implicit HS
"Người da trắng đều giàu có, còn người da màu chỉ nghèo khổ.",Explicit HS
Chúng ta nên học từ lỗi lầm của người khác để không mắc phải cùng một sai lầm.,Non HS
"Bạn ấy là một người đồng tính, vậy nên tôi không thể tin tưởng vào lời hứa của bạn ấy.",Explicit HS
"Mỗi người đều có những phẩm chất tốt riêng, dù là nam hay nữ.",Non HS
Người đồng tính đều thích trang điểm và mặc đồ lộng lẫy.,Explicit HS
"Ông ấy rất giỏi trong việc quản lý công ty, mặc dù ông ấy là người đồng tính.",Non HS
"Phụ nữ không nên tham gia quân đội, họ không có sức mạnh để chiến đấu.",Explicit HS
Mỗi người đều có quyền tự do lựa chọn nghề nghiệp phù hợp với mình.,Non HS
"Người đồng tính không xứng đáng được yêu thương, bởi họ không có giá trị trong xã hội.",Explicit HS
Những người bị rối loạn tâm lý cần sự giúp đỡ chứ không phải bị kì thị.,Non HS
Người Hồi giáo đều là kẻ khủng bố.,Explicit HS
"Tôi nghĩ rằng mọi người nên được tôn trọng, dù họ theo tôn giáo nào đi nữa.",Non HS
Người đồng tính đều thích chơi quần vợt.,Explicit HS
Sự đa dạng về văn hóa mang lại nhiều điều thú vị cho cộng đồng.,Non HS
Phụ nữ không nên lên tiếng nếu không muốn bị chế giễu.,Explicit HS
Mỗi người đều có quan điểm và quyền tự do bày tỏ nó.,Non HS
Người đồng tính đều giả vờ.,Explicit HS
"Học sinh nên tập trung vào việc học, thay vì dành thời gian để tranh cãi về vấn đề xã hội.",Non HS
"Đàn ông không nên khóc, họ là người mạnh mẽ.",Explicit HS
Chúng ta cần thảo luận và đưa ra những quyết định đúng đắn.,Non HS
Người đồng tính đều thích nhảy múa.,Explicit HS
Mỗi người đều có cơ hội để cải thiện cuộc đời mình.,Non HS
"Người chuyển giới thật sự quá đáng sợ, bạn có thấy không?",Explicit HS
"Họ đều là những kẻ yếu đuối, sống dựa dẫm vào người khác.",Implicit HS
Chúng ta nên tập trung vào việc xây dựng xã hội công bằng cho tất cả mọi người.,Non HS
"Tại sao lại có những đám đông ngu ngốc thế này, không biết gì ngoài ăn chơi?",Implicit HS
"Các cụ đã dạy rằng ai cũng bình đẳng trước pháp luật, không phân biệt ai giàu nghèo.",Non HS
Các bạn đồng tính thật sự làm tôi cảm thấy buồn nôn.,Explicit HS
"Trí thức chỉ ngồi nhà bàn giấy, không biết gì về thực tế!",Implicit HS
"Việc học hành cần sự chăm chỉ, kiên trì và lòng đam mê.",Non HS
"Phụ nữ thật sự quá yếu đuối, chỉ biết trông chờ vào đàn ông!",Explicit HS
"Chắc hẳn người giàu đang tận hưởng cuộc sống đầy tiện nghi và thoải mái, còn chúng ta thì sao?",Implicit HS
Đọc sách là một hoạt động giúp chúng ta mở rộng tri thức và tầm nhìn.,Non HS
"Thằng này đúng là đồ khốn nạn, làm hỏng hết mọi chuyện.",Explicit HS
"Những người có quyền lực luôn nghĩ rằng họ có thể làm mọi thứ mà không bị trừng phạt, đúng không?",Implicit HS
Thể thao không chỉ giúp nâng cao sức khỏe mà còn tăng cường tinh thần đồng đội.,Non HS
Tôi không thể chịu đựng được sự giả dối và lừa gạt.,Explicit HS
"Các công ty lớn luôn tìm cách lợi dụng quy định để tối ưu hóa lợi nhuận, họ không bao giờ quan tâm đến quyền lợi cộng đồng.",Implicit HS
Việc bảo vệ môi trường là trách nhiệm của mọi người.,Non HS
"Họ thật sự quá cổ lỗ sĩ và lạc hậu, không biết theo kịp thời đại.",Explicit HS
"Có lẽ, những người ít học luôn thích nói chuyện về những điều không liên quan đến mình.",Implicit HS
Công nghệ thông tin đã và đang thay đổi cách chúng ta giao tiếp và làm việc hàng ngày.,Non HS
"Bạn già rồi, không biết cái gì nữa.",Explicit HS
Đội bóng đá nhà nghề thường được trả lương cao hơn vì họ được xem như ngôi sao của ngành bóng đá.,Non HS
Người da màu không biết làm gì khác ngoài tội phạm và mại dâm.,Explicit HS
"Người ngoại quốc thật sự khó hòa nhập vào cuộc sống tại đây, không biết tại sao.",Implicit HS
Học tập là chìa khóa mở ra cánh cửa tri thức.,Non HS
Tôi ghét những kẻ luôn chỉ trích và cản đường tôi.,Explicit HS
Chắc hẳn các doanh nghiệp nhỏ luôn phải lo lắng về viễn cảnh cạnh tranh gay gắt với các đối thủ lớn.,Implicit HS
"Năng lượng tái tạo đang trở thành xu hướng toàn cầu, giúp giảm thiểu tác động tiêu cực đến môi trường.",Non HS
"Đàn ông thật sự quá yếu kém, không thể tự chăm sóc bản thân.",Explicit HS
Có lẽ những người ít học không hiểu được tầm quan trọng của việc học hỏi và mở rộng tri thức.,Implicit HS
Đọc sách là một phương pháp tuyệt vời để mở rộng kiến thức và kỹ năng.,Non HS
Tôi không thể tin rằng anh ấy lại làm điều này.,Explicit HS
Các chính trị gia luôn có những lời hứa hẹn đẹp đẽ nhưng liệu họ có thể giữ được không?,Implicit HS
"Học tập không chỉ là việc đọc sách, còn là quá trình trải nghiệm và tìm hiểu thế giới xung quanh.",Non HS
Bạn gái của anh ta thật sự quá xấu xí.,Explicit HS
Phụ nữ không hiểu gì về kinh tế và tài chính.,Implicit HS
Một người da màu làm tổng thống thì còn gì là quốc gia?,Explicit HS
Sao anh cứ mặc váy liên tục thế kia? Không thấy mình hơi hở hang sao?,Implicit HS
Tôi rất thích văn hóa ẩm thực Nhật Bản.,Non HS
"Cô gái này chắc chắn phải đã dùng dao kéo, nhìn khuôn mặt quá hoàn hảo.",Implicit HS
Người đồng tính thật sự đáng buồn.,Explicit HS
Bọn châu Á toàn ăn cắp ý tưởng thôi.,Explicit HS
Chị bán hàng rất nhiệt tình và tư vấn tốt cho tôi.,Non HS
Đàn bà sao không biết chăm sóc con cái?,Implicit HS
Người Hồi giáo chỉ thích sống ở vùng quê.,Explicit HS
Học sinh làng quê chắc học kém lắm.,Implicit HS
Tôi ngưỡng mộ tinh thần độc lập của phụ nữ.,Non HS
Người Trung Quốc toàn gian dối và lừa đảo.,Explicit HS
Chắc chắn người miền núi nghèo khó lắm chứ?,Implicit HS
Anh ấy có tài lãnh đạo tuyệt vời.,Non HS
Người chuyển giới thật kinh dị.,Explicit HS
Phụ nữ bây giờ tham tiền quá.,Implicit HS
Tôi thích thưởng thức những bài thơ tình yêu lãng mạn.,Non HS
Người gốc Phi chỉ giỏi chơi bóng rổ.,Explicit HS
Phụ nữ không nên làm quản lý vì họ yếu đuối.,Implicit HS
Công việc mới của tôi đang diễn ra tốt đẹp.,Non HS
Giáo sĩ Hồi giáo đều là khủng bố.,Explicit HS
Người già chỉ biết ngồi nhà lải nhải.,Implicit HS
Môi trường làm việc tại công ty này rất chuyên nghiệp.,Non HS
Người Do Thái đều là kẻ buôn lậu.,Explicit HS
Người thiểu số chỉ quan tâm đến quyền lợi bản thân.,Implicit HS
