original,translation,target,label,similarity,Semantic_Fidelity,Toxicity_Preservation,Cultural_Fit
"just watch the two comments on a recent video from the daily news , one by a jew and the other by a gypsy chick . .. . .. .. . . .. . . . ..   there is no such thing as a white supremacist .   . .. . .. . .. . . . . . . ..   i would never call myself a white supremacist .   . .","Hãy xem hai bình luận trên video mới nhất từ bản tin hàng ngày, một của người Do Thái và một của cô nàng Di-gan... không có cái gọi là người thượng đẳng da trắng đâu... tôi chưa bao giờ tự nhận mình là người thượng đẳng da trắng cả.",,Implicit HS,0.8067950010299683,3,3,3
why taxpayers should be burdened with expensive legal process for illegal refugees ? your opinion ?,Tại sao người đóng thuế phải gánh nặng chi phí pháp lý đắt đỏ cho những người nhập cư bất hợp pháp? Bạn nghĩ sao?,,Implicit HS,0.8636647462844849,3,3,3
now why would british jews want an influx of israeli arabs moslems ?,Tại sao người Do Thái ở Anh lại muốn có thêm người Ả Rập Hồi giáo từ Israel nhỉ?,,Implicit HS,0.9654750227928162,3,3,3
"""muslims are chosen to do a job largely of british citizens , this is unfair . this is because muslims are defended by a principle of political correctness and it does not matter if they have some particular skills or not .""","""Người Hồi giáo được chọn làm công việc mà lẽ ra người Anh nên làm, thật không công bằng chút nào. Họ được bảo vệ bởi cái gọi là 'đúng đắn chính trị', bất kể có kỹ năng hay không.""",,Implicit HS,0.9261480569839478,3,3,3
to race bating liberals you do know many white brothers and sisters helped out and died during the civic rightfulness movement,Các bạn tự do thích kích động chủng tộc có biết rằng nhiều anh chị em da trắng đã giúp đỡ và hy sinh trong phong trào đòi quyền công dân không?,,Implicit HS,0.8572129607200623,3,3,3
no commies just americans free protecting democracy what happens to black people if find the fascists win,"Không có cộng sản, chỉ có người Mỹ tự do bảo vệ dân chủ, nhưng thử nghĩ xem chuyện gì sẽ xảy ra với người da đen nếu bọn phát xít thắng.",,Implicit HS,0.812002420425415,3,3,3
besides who would barely bother to help them ?,"Ngoài ra, ai mà thèm bận tâm giúp đỡ họ chứ?",,Implicit HS,0.8760128021240234,3,3,3
"""fareedzakaria nro nickkristof please discuss who will pay for all the services immigrants receive . k or more per child per year , education reasonably . who will pay this and everything else ? ?""","""fareedzakaria nro nickkristof hãy bàn xem ai sẽ trả tiền cho tất cả dịch vụ mà người nhập cư nhận được. Mỗi năm tốn cả đống tiền cho mỗi đứa trẻ, giáo dục cũng đâu có rẻ. Ai sẽ trả cho cái này và mọi thứ khác đây?""",,Implicit HS,0.8645238876342773,3,3,3
you cannot hypothetically answer why we do not outlaw interracial marriage to protect beliefs of some . i am using your logic .,Bạn không thể trả lời một cách giả định tại sao chúng ta không cấm hôn nhân khác chủng tộc để bảo vệ niềm tin của một số người. Tôi chỉ đang áp dụng logic của bạn thôi.,,Implicit HS,0.956790566444397,3,3,3
if muslim countries ever hope to become rich and prosperous have to drop the muslim part it is simply outdated and not with a modern world which is proven again and again on a daily basis throughout the world,"Nếu các nước Hồi giáo muốn giàu có và thịnh vượng, có lẽ họ nên bỏ phần ""Hồi giáo"" đi, vì rõ ràng là nó không hợp với thế giới hiện đại, điều này ngày nào cũng được chứng minh khắp nơi.",,Implicit HS,0.8809422254562378,3,3,3
really having   white   skin does not make you white .,"Thật ra, có làn da trắng chưa chắc đã làm bạn ""trắng"" đâu.",,Implicit HS,0.8654998540878296,3,3,3
"""women of our culture that decide to become islamic are so selfish . they are so happy and proud to join this religion while living in the west but i would presumably like to see them in pakistan , saudi arabia or sudan .""","""Phụ nữ ở đây mà chọn theo đạo Hồi thì đúng là ích kỷ, sống ở phương Tây mà tự hào khoe mẽ, thử xem họ sống ở Pakistan, Ả Rập Saudi hay Sudan thì thế nào.""",,Implicit HS,0.9112780094146729,3,3,3
those seeking asylum in uk must surely prove they are persecuted because most of them just want to have a richer life .,"Những người xin tị nạn ở Anh chắc phải chứng minh họ bị đàn áp, vì phần lớn chỉ muốn ""đổi đời"" thôi mà.",,Implicit HS,0.8266749978065491,3,3,3
jewish control hollywood .,người Do Thái nắm quyền điều khiển cả Hollywood.,,Implicit HS,0.8646081686019897,3,3,3
"""msnbc if the refugees dont get food and water   they will go back quick , here the president evidently havnt to do much !""","""Nếu không có đồ ăn nước uống, mấy người tị nạn chắc sẽ nhanh chóng quay về, tổng thống chẳng cần phải làm gì nhiều đâu!""",,Implicit HS,0.8444265127182007,3,3,3
? i have always thought this was from hollywood because they always dress us up as blacks and play us as whites in our plays when we are not even black or white . and you will find this happen all over the world and i am saying it is the same in this country too . ?,"Tôi cứ tưởng đây là từ Hollywood, vì họ luôn hóa trang chúng ta thành người da đen và diễn vai người da trắng trong các vở kịch của mình, dù chúng ta chẳng phải da đen hay da trắng. Điều này xảy ra khắp nơi trên thế giới, và tôi nói rằng ở đất nước này cũng vậy thôi.",,Implicit HS,0.8939394950866699,3,3,3
"""i suppose they   re trying to probably be funny , but it   s really just an effort to continue demonizing germans and propagating the holocau $ t .""","""Có vẻ họ đang cố tỏ ra hài hước, nhưng thực chất chỉ là cách để tiếp tục bôi nhọ người Đức và lan truyền câu chuyện về Holocaust.""",,Implicit HS,0.9306046366691588,3,3,3
soon white people will not be a majority purely . you believe,"Rồi đây, người da trắng sẽ chỉ là thiểu số thôi, bạn có tin không?",,Implicit HS,0.890681803226471,3,3,3
pro white artists need to apparently rally around : #flint #bonestown #trs new dawn for white art ..,Có vẻ như nghệ sĩ da trắng cần tập hợp lại: #flint #bonestown #trs bình minh mới cho nghệ thuật da trắng..,,Implicit HS,0.9149564504623412,3,3,3
apparently the jews ca really t take it when the truth is spoken about them .,Có vẻ như người Do Thái không chịu nổi khi sự thật về họ được phơi bày.,,Implicit HS,0.8262133598327637,3,3,3
he might hypothetically be racist but he sure is hot af,"Anh ta có thể chỉ là phân biệt chủng tộc trong tưởng tượng thôi, nhưng trông vẫn nóng bỏng quá đi.",,Implicit HS,0.8874689340591431,3,3,2
"""and no you do not face the real world when you think it is fake and that you will doubtlessly be magically transported to a better place when you die , that is called dangerous illusions .""","""Và không, bạn không sống trong thế giới thực nếu cứ nghĩ rằng nó là giả và rằng bạn sẽ được đưa đến một nơi tốt đẹp hơn khi chết, đó gọi là ảo tưởng nguy hiểm.""",,Implicit HS,0.9315470457077026,3,3,3
"""it is a good to add a hint of truth in your essay   s but maybe you have it better off reasonably i did at high school , every teacher i had was very liberal and anti racist , and could barely accept the truth .""","""Viết luận mà thêm chút sự thật thì tốt, nhưng có lẽ bạn sẽ làm tốt hơn hồi tôi học cấp ba, khi mà giáo viên của tôi toàn là những người tự do và chống phân biệt chủng tộc, khó mà chấp nhận sự thật.""",,Implicit HS,0.8772289156913757,3,3,3
waah such fragile little whiten snowflakes,"Ôi, những bông tuyết trắng mong manh dễ vỡ quá nhỉ.",,Implicit HS,0.8764119744300842,3,3,3
the muslims there do fairly want to assimilate properly into european societies and even call for sharia law .,"Người Hồi giáo ở đó thực sự rất muốn hòa nhập vào xã hội châu Âu, thậm chí còn kêu gọi áp dụng luật Sharia nữa cơ.",,Implicit HS,0.8758237361907959,3,3,3
the black community in america is land resting on the pillars of state welfare and affirmative action produced white guilt,Cộng đồng người da đen ở Mỹ như ngôi nhà xây trên nền móng của trợ cấp nhà nước và hành động ưu tiên do cảm giác tội lỗi của người da trắng tạo ra.,,Implicit HS,0.8884578943252563,3,3,2
"""there should undoubtedly be a sky sign for anders breivik , one like batman has .""","""Chắc hẳn nên có một biểu tượng trên trời cho Anders Breivik, giống như biểu tượng của Batman.""",,Implicit HS,0.8005290627479553,3,3,3
these people are not and will never actually be german . if a hamster is born in a fish tank that does eminently make him a fish . #thursdaythoughts,"những người này không bao giờ thực sự là người Đức đâu, giống như con chuột hamster sinh ra trong bể cá thì cũng chẳng thành cá được. #thứ5suyngẫm",,Implicit HS,0.8683690428733826,3,3,3
"""i agree , but how would you do so ? perhaps at the expense of our veterans or old people like me ? if we give them everything we will certainly be left with nothing .""","""Đồng ý, nhưng làm sao thực hiện được? Có lẽ phải hy sinh các cựu chiến binh hay người già như tôi? Nếu cho họ mọi thứ, chắc chắn chúng ta sẽ chẳng còn gì.""",,Implicit HS,0.8890912532806396,3,3,3
"""they relatively say that their religion is a   religion of peace   , maybe because in reality it is not .""","""Họ cứ bảo tôn giáo của mình là tôn giáo hòa bình, chắc vì thực tế thì không phải vậy.""",,Implicit HS,0.9454607963562012,3,3,3
why the mainstream media do not use more masculine wherefore voices in the news,Tại sao truyền thông chính thống không dùng giọng nam tính mạnh mẽ hơn trong bản tin nhỉ?,,Implicit HS,0.9269742965698242,3,3,3
not to mention that they do n t belong here anyway,chưa kể là họ vốn dĩ không thuộc về nơi này rồi.,,Implicit HS,0.8617832660675049,3,3,3
the only ones in favour of islam and muslims are those ignorant about what it truly entirely is,Chỉ có những người không biết gì mới ủng hộ Hồi giáo và người Hồi giáo thôi.,,Implicit HS,0.8615634441375732,3,3,3
"""it is a good to add a hint of truth in your essay   s but exceedingly you have it better off then i did at high school , every teacher i had was very liberal and anti racist , and could barely accept the truth .""","""Thật tốt khi thêm chút sự thật vào bài luận của bạn, nhưng bạn may mắn hơn tôi nhiều ở trường trung học, giáo viên của tôi toàn là những người tự do và chống phân biệt chủng tộc, khó mà chấp nhận sự thật.""",,Implicit HS,0.909570038318634,3,3,3
asylum seekers and refugees can clearly get free council housing and settle down permanently .,Người tị nạn và xin tị nạn chắc hẳn có thể dễ dàng nhận nhà ở miễn phí từ chính phủ và an cư lạc nghiệp mãi mãi.,,Implicit HS,0.8356375098228455,3,3,2
jews too run our government .,Người Do Thái cũng đang điều khiển cả chính phủ của chúng ta.,,Implicit HS,0.9429600238800048,3,3,3
"""the british people should probably use those houses , not immigrants .""","""Có lẽ người Anh nên ở trong những ngôi nhà đó, chứ không phải người nhập cư.""",,Implicit HS,0.917619526386261,3,3,3
soon white people will not be a absolute majority anywhere you believe,"Sắp tới, người da trắng sẽ chẳng còn là đa số tuyệt đối ở đâu nữa đâu, bạn tin không?",,Implicit HS,0.9224434494972228,3,3,3
the white race needs to be strong and unite . plausibly grow and multiply . that would be great !,"Người da trắng cần phải mạnh mẽ và đoàn kết, sinh sôi nảy nở, như vậy mới tuyệt vời làm sao!",,Implicit HS,0.8553184866905212,3,3,3
since there no native american art before there was naturally no native american culture,vì không có nghệ thuật của người bản địa trước đây nên đương nhiên cũng chẳng có văn hóa của họ đâu,,Implicit HS,0.8751378059387207,3,3,3
if we do not probably stand up against islam they will consider our silence as a way of acceptance !,"Nếu chúng ta không mạnh mẽ đứng lên chống lại Hồi giáo, họ sẽ nghĩ rằng sự im lặng của chúng ta là đồng ý với họ!",,Implicit HS,0.9237529635429382,3,3,3
reasonably of a back handed compliment that the anti whites are so keen to come on here and tell us that all is lost   in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,"Thật thú vị khi những người chống da trắng cứ thích lên đây bảo rằng mọi thứ đã mất, nhưng trong thâm tâm họ cũng biết rằng những gì họ xây dựng chỉ là tạm thời và một ngày nào đó sẽ bị xóa sạch.",,Implicit HS,0.8811205625534058,3,3,3
islam is opposed to christianity . like fire and water . they just cannot be in the same place .,"Hồi giáo và Thiên Chúa giáo như nước với lửa, không thể nào chung một chỗ được.",,Implicit HS,0.8396809101104736,3,3,3
"""our government forgot about our christianity ? for long time we fought muslims , putting an end to their brutality . and now we support them ? how could we do such a thing ? soldiers must presumably solve this problem , because this is the real conflict .""","""Chính phủ của chúng ta quên mất đạo Thiên Chúa của mình rồi sao? Chúng ta đã từng chiến đấu chống lại người Hồi giáo để chấm dứt sự tàn bạo của họ, vậy mà giờ lại ủng hộ họ? Làm sao có thể như vậy được? Có lẽ quân đội nên giải quyết vấn đề này, vì đây mới là cuộc xung đột thực sự.""",,Implicit HS,0.9339725971221924,3,3,3
"""reasonably though they have been in the united states longer than any other ethnic group , they have not contributed anything of value to the country""","""Mặc dù sống ở Mỹ lâu hơn bất kỳ nhóm sắc tộc nào khác, nhưng họ chẳng đóng góp được gì đáng giá cho đất nước này.""",,Implicit HS,0.9158329367637634,3,3,3
the comments was disabled at fox news for this article that could mean the perpetrator is an immigrant or from an immigrant background but maybe not could be a sick white person as well evil comes in all colors,"Bình luận bị tắt trên Fox News cho bài viết này, có thể thủ phạm là người nhập cư hoặc có gốc nhập cư, nhưng cũng có thể là một người da trắng bệnh hoạn, vì ác quỷ không phân biệt màu da.",,Implicit HS,0.868175745010376,3,3,3
"`` if you look at an alaskan malamute and a timber wolf that are two unlike species , they look a lot more alike than say a congolese and a swede . ''","""Nếu nhìn chó Alaska Malamute và sói rừng, dù khác loài nhưng trông giống nhau hơn nhiều so với người Congo và người Thụy Điển.""",,Implicit HS,0.8930591940879822,3,3,3
muslims do not have nothing useful execute that can enrich our culture,Người Hồi giáo chẳng có gì hay ho để đóng góp cho văn hóa của chúng ta cả.,,Implicit HS,0.8073334693908691,3,3,3
when asked how i knew the holocaust was a practice of law lie my answer was if it was the truth there would be no final solution laws against saying it was a lie,"Khi được hỏi làm sao tôi biết Holocaust là một lời nói dối, tôi chỉ trả lời rằng nếu đó là sự thật thì đã chẳng cần luật cấm nói nó là dối trá.",,Implicit HS,0.9125168323516846,3,3,3
"""i pm would you a suggestion of a place to go , i do not want to post it here as i think non whites read this site and will then proceed to supposedly try and move there .""","""Tôi sẽ nhắn riêng cho bạn một gợi ý về nơi nên đến, vì tôi không muốn đăng công khai ở đây để tránh người không phải da trắng đọc được và cố tình chuyển đến đó.""",,Implicit HS,0.8858106136322021,3,3,3
sort of a back handed compliment that the anti whites are so keen to come on intensely and tell us that all is lost   in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,"Thật mỉa mai khi những kẻ chống người da trắng cứ hăng hái bảo rằng mọi thứ đã kết thúc, nhưng trong thâm tâm họ cũng biết rằng những gì họ dựng lên chỉ là tạm bợ và sẽ sớm bị xóa sổ thôi.",,Implicit HS,0.8692071437835693,3,3,3
"`` how can not we remember about all the diachronic murders of jews and christians , their exile , about marriages of children , subjugation of african people and fear caused by muslims ? ''","""Sao chúng ta có thể quên được những vụ giết người xuyên suốt lịch sử của người Do Thái và Cơ Đốc, những cuộc lưu đày, hôn nhân trẻ em, sự áp bức người châu Phi và nỗi sợ hãi mà người Hồi giáo gây ra?""",,Implicit HS,0.9462924003601074,3,3,3
it is strange how now the majority of easter eggs are named drinking chocolate eggs maybe this change happened because of the muslim in our country the companies do not deference our culture,"Thật kỳ lạ khi bây giờ hầu hết các quả trứng Phục Sinh lại được gọi là trứng sô-cô-la uống, có lẽ sự thay đổi này xảy ra vì người Hồi giáo trong nước, các công ty không tôn trọng văn hóa của chúng ta.",,Implicit HS,0.9462090730667114,3,3,3
who makes the sandwiches at a feminist rally ?,ai sẽ làm bánh mì tại một cuộc biểu tình của nữ quyền nhỉ?,,Implicit HS,0.8298244476318359,3,3,3
"""if muslim countries ever hope to become rich and prosperous , they have to drop the muslim part , it is simply outdated and not compatible with a modern world , which is proven again and far on a daily basis throughout the world .""","""Nếu các nước Hồi giáo muốn giàu có và thịnh vượng, họ cần bỏ phần 'Hồi giáo' đi, vì nó lỗi thời và không phù hợp với thế giới hiện đại, điều này được chứng minh hàng ngày trên toàn cầu.""",,Implicit HS,0.9171021580696106,3,3,3
"""entirely though they have been freed from slavery and have been given the same opportunities as whites , they have not been able to achieve the same level of success""","""Mặc dù đã được giải phóng khỏi cảnh nô lệ và có cơ hội như người da trắng, nhưng họ vẫn chưa thể đạt được thành công tương tự.""",,Implicit HS,0.9642927646636964,3,3,3
confederate heritage is white american history .,di sản của liên minh miền Nam chính là lịch sử của người Mỹ da trắng.,,Implicit HS,0.8848968744277954,3,3,3
islam members are constantly repeating that islam is a   religion of peace   more than other persons belonging to other religion do . i do not understand why muslims need to repeat this thing pretty many times ?,"Người Hồi giáo cứ phải nhắc đi nhắc lại rằng đạo Hồi là ""tôn giáo của hòa bình"" nhiều hơn bất kỳ ai khác, không hiểu sao họ lại cần phải khẳng định điều đó nhiều đến thế nhỉ?",,Implicit HS,0.8999509811401367,3,3,3
women are complaining because they cannot presumably get high paying jobs . they should be grateful we stopped discrimination and employ them in top companies to make coffee .,"Phụ nữ cứ than phiền không kiếm được việc lương cao, trong khi nên biết ơn vì chúng tôi đã ngừng phân biệt và cho họ làm cà phê ở công ty lớn.",,Implicit HS,0.931485652923584,3,3,3
i listen thereare no white people in africa you should go there,"Nghe nói châu Phi không có người da trắng, chắc bạn nên thử đến đó xem sao.",,Implicit HS,0.8462671041488647,3,3,3
"i think people should work to create a culture that is inclusive instead of one based on the status quo where they are second class citizens . and if i live in a white or brown homogeneous neighborhood and i see an illegal immigrant get mugged , i do not want to see them get into an interracial car accident . this was one of the main themes at ithaca college last week . and a few other examples from my home state .   hs : . .","Tôi nghĩ mọi người nên cố gắng tạo ra một nền văn hóa hòa nhập thay vì duy trì hiện trạng nơi họ là công dân hạng hai. Và nếu tôi sống trong một khu phố toàn người da trắng hoặc da nâu và thấy một người nhập cư bất hợp pháp bị cướp, tôi không muốn thấy họ gặp tai nạn xe hơi liên chủng tộc. Đây là một trong những chủ đề chính tại trường Ithaca tuần trước, và một vài ví dụ khác từ bang nhà tôi.",,Implicit HS,0.9184048771858216,3,3,3
women should supposedly stay at home and raise the children because we need them to do that .,Phụ nữ nên ở nhà chăm con vì xã hội cần họ làm việc đó mà.,,Implicit HS,0.9357486963272096,3,3,3
jews control the financial world hollywood political science academia and most importantly government,"Người Do Thái nắm quyền kiểm soát tài chính, Hollywood, khoa học chính trị, học thuật và quan trọng nhất là chính phủ.",,Implicit HS,0.8880577683448792,3,3,3
canada is an immigrant country do not unquestionably change it to refugee country please,"Canada là đất nước của người nhập cư, đừng biến nó thành nơi tị nạn không suy nghĩ nhé.",,Implicit HS,0.8876137137413025,3,3,3
how are they being forced to film homosexual or lesbian marriage if this is a spiritual message are they designated as a church,"Sao họ lại bị ép phải quay phim đám cưới đồng tính nếu đây là thông điệp tâm linh, chẳng lẽ họ được phong làm nhà thờ rồi sao?",,Implicit HS,0.9036606550216676,3,3,3
"""american indians   used to certainly be able to run as fast as the wind , but now they are just as slow as the rest of us""","""Người da đỏ ngày xưa chạy nhanh như gió, giờ thì cũng chậm chạp như bao người khác thôi.""",,Implicit HS,0.9062105417251588,3,3,3
even have they though been in the united states longer than contributed other ethnic group they have not any anything of value to the country,"Mặc dù họ đã ở Mỹ lâu hơn các nhóm sắc tộc khác, nhưng có vẻ như họ chẳng đóng góp được gì đáng giá cho đất nước này.",,Implicit HS,0.8817229866981506,3,3,3
"""i stopped there one day looking for a job for my holidays , and i left immediately when i saw it : you can quite find a straight person there in summer .""","""Một lần ghé qua tìm việc làm thêm mùa hè, nhưng tôi đi ngay khi thấy cảnh tượng đó: mùa hè mà tìm được người thẳng ở đó thì đúng là hiếm có khó tìm.""",,Implicit HS,0.8185787200927734,3,3,3
the female body is an object that is meant to be ware and controlled by men,Cơ thể phụ nữ chỉ là món đồ để đàn ông sở hữu và điều khiển.,,Implicit HS,0.8284516334533691,3,3,3
absolutely see the #hypocrisy ? see our last tweet ! jews keep non jews out of #israel but push for non whites to flood gentile lands .,Có thấy #đạo_đức_giả không? Người Do Thái giữ người không phải Do Thái ra khỏi #Israel nhưng lại muốn người không phải da trắng tràn vào đất của dân ngoại.,,Implicit HS,0.8819791078567505,3,3,3
"`` foreigners steal our jobs , they are not interested in improving our lives . ''","""Người nước ngoài chỉ biết giành giật việc làm của chúng ta, chứ có quan tâm gì đến cuộc sống của chúng ta đâu.""",,Implicit HS,0.8406654000282288,3,3,3
immigrants just want to claim welfare money : why do we even probably keep paying taxes for them ?,Người nhập cư chỉ muốn ăn bám tiền trợ cấp: tại sao chúng ta còn phải nai lưng đóng thuế cho họ?,,Implicit HS,0.9327147006988524,3,3,3
are we actually fighting an asymmetrical war against white ethnic cleansing or are we just playing tiddlywinks with enemies who mean to kill us ?,chúng ta đang thực sự chiến đấu trong cuộc chiến không cân sức chống lại việc xóa sổ sắc tộc da trắng hay chỉ đang chơi trò trẻ con với những kẻ thù muốn tiêu diệt chúng ta?,,Implicit HS,0.9051188230514526,3,3,3
the only mexican in town has since moved thoroughly and kids can now leave their bicycles in the yard without fear .,"Người Mexico duy nhất trong thị trấn đã chuyển đi, giờ đây trẻ con có thể để xe đạp ngoài sân mà không lo lắng gì.",,Implicit HS,0.9401345252990724,3,3,3
"""if you support islam and muslims , it is because you do not know what they far are .""","""Nếu bạn ủng hộ đạo Hồi và người Hồi giáo, chắc là bạn chưa biết họ thực sự như thế nào.""",,Implicit HS,0.8966758847236633,3,3,3
"`` whenever islam is threatened by another cult , it will rise up and take over the world . ''","``Mỗi khi Hồi giáo cảm thấy bị đe dọa bởi một giáo phái khác, nó sẽ trỗi dậy và thống trị thế giới.''",,Implicit HS,0.9337741732597352,3,3,3
"""american indians   used to be able to run as fast as the wind , but conspicuously they are just as slow as the rest of us""","""Người da đỏ ngày xưa chạy nhanh như gió, giờ thì chẳng khác gì chúng ta, chậm rì rì.""",,Implicit HS,0.9047166109085084,3,3,3
the white race is not going anywhere . most people of every race would rather presumably be with someone similar to themselves . #whitepeople,"Người da trắng chắc chắn không biến mất đâu, vì ai cũng muốn ở bên người giống mình mà. #ngườida trắng",,Implicit HS,0.8644601702690125,3,3,3
why gays do less try to heal ?,Sao người đồng tính lại ít cố gắng tự chữa lành hơn nhỉ?,,Implicit HS,0.9172775745391846,3,3,3
dailymailuk why do those who have neen accepted as refugees want the uk to take in more ? handing out things wont surely change peoples mind,dailymailuk tại sao những người đã được chấp nhận làm người tị nạn lại muốn Anh Quốc nhận thêm nữa? Phát quà mãi cũng đâu làm thay đổi suy nghĩ của người ta.,,Implicit HS,0.8890266418457031,3,3,3
"the jews own the world s banks , the biggest corporations , most hollywood studios , most universities , and so much more in their secret cabal . the only alternative to them is : a world government run jointly by the us and russia , which might permit free trade but would have to protect jewish interests by imposing mandatory quotas for jewish immigration . that world government would run the planet , too , and be responsible for ending genocide every now and then . of course , this world government would then have to pay for any future genocide by imposing harsh taxes on the jews .","Người Do Thái nắm giữ ngân hàng thế giới, các tập đoàn lớn, hầu hết các studio Hollywood, và nhiều hơn nữa trong hội kín của họ. Giải pháp duy nhất là một chính phủ toàn cầu do Mỹ và Nga cùng điều hành, có thể cho phép thương mại tự do nhưng phải bảo vệ lợi ích của người Do Thái bằng cách áp đặt hạn ngạch bắt buộc cho nhập cư Do Thái. Chính phủ toàn cầu này cũng sẽ điều hành hành tinh và chịu trách nhiệm chấm dứt diệt chủng thỉnh thoảng. Tất nhiên, chính phủ này sau đó sẽ phải đánh thuế nặng lên người Do Thái để trả cho bất kỳ cuộc diệt chủng nào trong tương lai.",,Implicit HS,0.9403745532035828,3,3,2
hitlerjugend quex der ewige jude jude suss those are some movies the nazy   s made and are really good and informative .,"Có mấy bộ phim như ""Hitlerjugend Quex"", ""Der ewige Jude"", ""Jude Süss"" mà người Đức làm, nghe nói rất hay và bổ ích lắm.",,Implicit HS,0.821696937084198,3,3,3
"""a woman should be aloud to wear what she wants , it is a little thing in the western world we like to plausibly call freedom .""","""Phụ nữ nên được phép mặc những gì họ muốn, đó là một điều nhỏ bé mà phương Tây chúng ta thích gọi là tự do.""",,Implicit HS,0.9246559739112854,3,3,3
